出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","114","1","2801","彰銀","6372921.00","4368294.00","470703.00","5175409.00","5095103.00","960337.00","4134766.00","--","--","4134766.00","423477.00","--","4558243.00","4134766.00","--","--","4558243.00","--","--","0.37"
"114/11/30","114","1","2812","台中銀","3225670.00","1790634.00","183167.00","2218234.00","2614903.00","440420.00","2174483.00","--","--","2174483.00","-5914.00","--","2168569.00","2174483.00","--","--","2168569.00","--","--","0.39"
"114/11/30","114","1","2820","華票","170019.00","417145.00","-34127.00","126518.00","494773.00","98231.00","396542.00","--","--","396542.00","292497.00","--","689039.00","--","--","--","--","--","--","0.30"
"114/11/30","114","1","2834","臺企銀","4844708.00","3744977.00","788289.00","4044329.00","3757067.00","821692.00","2935375.00","--","--","2935375.00","-447740.00","--","2487635.00","2935375.00","0.00","0.00","2487635.00","0.00","0.00","0.32"
"114/11/30","114","1","2836","高雄銀","833492.00","329990.00","90213.00","717285.00","355984.00","90119.00","265865.00","--","--","265865.00","387042.00","--","652907.00","--","--","--","--","--","--","0.15"
"114/11/30","114","1","2838","聯邦銀","2222604.00","2460033.00","142453.00","3054859.00","1485325.00","301926.00","1183399.00","--","--","1183399.00","2293210.00","--","3476609.00","1206352.00","--","-22953.00","3499545.00","--","-22936.00","0.30"
"114/11/30","114","1","2845","遠東銀","1564193.00","1626049.00","39219.00","1925633.00","1225390.00","118029.00","1107361.00","--","--","1107361.00","43874.00","--","1151235.00","1107361.00","--","--","1151235.00","--","--","0.26"
"114/11/30","114","1","2849","安泰銀","718105.00","648247.00","83754.00","857708.00","424890.00","61622.00","363268.00","0.00","--","363268.00","397465.00","--","760733.00","--","--","--","--","--","--","0.19"
"114/11/30","114","1","2897","王道銀行","577379.00","1773586.00","34497.00","1222755.00","1093713.00","265121.00","828592.00","--","--","828592.00","638789.00","--","1467381.00","537095.00","--","291497.00","955128.00","--","512253.00","0.19"
"114/11/30","114","1","5876","上海商銀","9576282.00","4248836.00","1508145.00","5291052.00","7025921.00","1125333.00","5900588.00","--","--","5900588.00","3020770.00","--","8921358.00","4667070.00","--","1233518.00","5873619.00","--","3047739.00","0.96"
