出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","114","1","2880","華南金","6941955.00","9746534.00","16688489.00","825242.00","633408.00","8515471.00","6714368.00","1376719.00","5337649.00","--","5337649.00","4942191.00","10279840.00","5337621.00","--","28.00","10279792.00","--","48.00","0.39"
"114/10/28","114","1","2881","富邦金","48292256.00","60682173.00","108974429.00","2547830.00","32544670.00","22293976.00","51587953.00","10485731.00","41102222.00","--","41102222.00","-77056789.00","-35954567.00","41057794.00","--","44428.00","-36339165.00","--","384598.00","3.00"
"114/10/28","114","1","2882","國泰金","67112700.00","39149953.00","106262653.00","1353351.00","40334303.00","27297657.00","37277342.00","5062686.00","32214656.00","0.00","32214656.00","-55120676.00","-22906020.00","32015307.00","--","199349.00","-22567344.00","--","-338676.00","2.18"
"114/10/28","114","1","2883","凱基金","19332189.00","7807884.00","27140073.00","294983.00","7535962.00","8958068.00","10351060.00","1644382.00","8706678.00","--","8706678.00","-16649299.00","-7942621.00","8706307.00","--","371.00","-7944986.00","--","2365.00","0.52"
"114/10/28","114","1","2884","玉山金","9227335.00","12211572.00","21438907.00","353866.00","--","10355628.00","10729413.00","1919406.00","8810007.00","--","8810007.00","767435.00","9577442.00","8809484.00","--","523.00","9576869.00","--","573.00","0.55"
"114/10/28","114","1","2885","元大金","9205994.00","22019586.00","31225580.00","502816.00","6095645.00","14560804.00","10066315.00","1865551.00","8200764.00","--","8200764.00","984018.00","9184782.00","7638340.00","--","562424.00","8529651.00","--","655131.00","0.59"
"114/10/28","114","1","2886","兆豐金","9533604.00","9328638.00","18862242.00","388261.00","23894.00","8776367.00","9673720.00","1662928.00","8010792.00","--","8010792.00","4022572.00","12033364.00","8010792.00","--","0.00","12033364.00","--","0.00","0.54"
"114/10/28","114","1","2887","台新新光金","9331132.00","15432102.00","24763234.00","769433.00","8914215.00","9337846.00","5741740.00","1009317.00","4732423.00","--","4732423.00","-3808650.00","923773.00","4732707.00","--","-284.00","924057.00","--","-284.00","0.33"
"114/10/28","114","1","2889","國票金","422612.00","1292490.00","1715102.00","31066.00","--","1003633.00","680403.00","207682.00","472721.00","--","472721.00","46498.00","519219.00","401795.00","--","70926.00","609654.00","--","-90435.00","0.11"
"114/10/28","114","1","2890","永豐金","8473458.00","10186247.00","18659705.00","888411.00","--","9177713.00","8593581.00","1331335.00","7262246.00","--","7262246.00","896860.00","8159106.00","7201742.00","--","60504.00","8084956.00","--","74150.00","0.57"
"114/10/28","114","1","2891","中信金","35517239.00","25934586.00","61451825.00","3562733.00","8923749.00","24393901.00","24571442.00","4242399.00","20329043.00","--","20329043.00","-6716581.00","13612462.00","19908299.00","--","420744.00","12423538.00","--","1188924.00","1.02"
"114/10/28","114","1","2892","第一金","7960202.00","10314345.00","18274547.00","71006.00","1100256.00","8216899.00","8886386.00","1680615.00","7205771.00","--","7205771.00","1523921.00","8729692.00","7205771.00","--","--","8729692.00","--","--","0.51"
"114/10/28","114","1","5880","合庫金","8288190.00","9119417.00","17407607.00","668354.00","2622564.00","7747769.00","6368920.00","1377688.00","4991232.00","--","4991232.00","-28485.00","4962747.00","4934624.00","--","56608.00","4959514.00","--","3233.00","0.32"
